Rk,Player,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,All Star and/or HOF (played prior to 1933 when AS Game was created)
1,Barry Bonds,2002,37,SFG,NL,143,612,403,117,149,31,2,46,110,198,68,47,9,0,2,4,9,2,0.37,0.582,0.799,1.381,*7/DH,1
2,Barry Bonds,2004,39,SFG,NL,147,617,373,129,135,27,3,45,101,232,120,41,9,0,3,5,6,1,0.362,0.609,0.812,1.422,*7/HD,1
3,Barry Bonds,2001,36,SFG,NL,153,664,476,129,156,32,2,73,137,177,35,93,9,0,2,5,13,3,0.328,0.515,0.863,1.379,*7/DH,1
4,Babe Ruth,1920,25,NYY,AL,142,617,458,158,172,36,9,54,135,150,,80,3,5,,,14,14,0.376,0.532,0.847,1.379,978/3H1,1
5,Babe Ruth,1923,28,NYY,AL,152,699,522,151,205,45,13,41,130,170,,93,4,3,,,17,21,0.393,0.545,0.764,1.309,97/83,1
6,Babe Ruth,1921,26,NYY,AL,152,693,540,177,204,44,16,59,168,145,,81,4,4,,,17,13,0.378,0.512,0.846,1.359,*78/31H,1
7,Ted Williams,1941,22,BOS,AL,143,606,456,135,185,33,3,37,120,147,25,27,3,0,,10,2,4,0.406,0.553,0.735,1.287,*7H/9,1
8,Ross Barnes,1876,26,CHC,NL,66,342,322,126,138,21,14,1,59,20,,8,,,,,,,0.429,0.462,0.59,1.052,*4/1,0
9,Ted Williams,1957,38,BOS,AL,132,547,420,96,163,28,1,38,87,119,33,43,5,0,2,11,0,1,0.388,0.526,0.731,1.257,*7/H,1
10,Barry Bonds,2003,38,SFG,NL,130,550,390,111,133,22,1,45,90,148,61,58,10,0,2,7,7,0,0.341,0.529,0.749,1.278,*7/DH,1
11,Babe Ruth,1926,31,NYY,AL,152,652,495,139,184,30,5,47,153,144,,76,3,10,,,11,9,0.372,0.516,0.737,1.253,79/H3,1
12,Babe Ruth,1927,32,NYY,AL,151,691,540,158,192,29,8,60,165,137,,89,0,14,,,7,6,0.356,0.486,0.772,1.258,97,1
13,Rogers Hornsby,1924,28,STL,NL,143,642,536,121,227,43,14,25,94,89,,32,2,13,,,5,12,0.424,0.507,0.696,1.203,*4,1
14,Mickey Mantle,1957,25,NYY,AL,144,623,474,121,173,28,6,34,94,146,23,75,0,0,3,5,16,3,0.365,0.512,0.665,1.177,*8/H,1
15,Lou Gehrig,1927,24,NYY,AL,155,717,584,149,218,52,18,47,173,109,,84,3,21,,,10,8,0.373,0.474,0.765,1.24,*3,1
16,Babe Ruth,1924,29,NYY,AL,153,681,529,143,200,39,7,46,124,142,,81,4,6,,,9,13,0.378,0.513,0.739,1.252,97/8H,1
17,Juan Soto,2020,21,WSN,NL,47,196,154,39,54,14,0,13,37,41,12,28,1,0,0,1,6,2,0.351,0.49,0.695,1.185,*7/9D,1
18,Babe Ruth,1931,36,NYY,AL,145,663,534,149,199,31,3,46,162,128,5,51,1,0,,,5,4,0.373,0.495,0.7,1.195,97/H3,1
19,Babe Ruth,1919,24,BOS,AL,130,543,432,103,139,34,12,29,113,101,,58,6,3,,,7,,0.322,0.456,0.657,1.114,*71/3H8,1
20,Mark McGwire,1998,34,STL,NL,155,681,509,130,152,21,0,70,147,162,28,155,6,0,4,8,1,0,0.299,0.47,0.753,1.222,*3/H,1
21,Ted Williams,1942,23,BOS,AL,150,671,522,141,186,34,5,36,137,145,20,51,4,0,,12,3,2,0.356,0.499,0.648,1.147,*7/9,1
22,Ted Williams,1946,27,BOS,AL,150,672,514,142,176,37,8,38,123,156,29,44,2,0,,12,0,0,0.342,0.497,0.667,1.164,*7,1
23,Jeff Bagwell,1994,26,HOU,NL,110,479,400,104,147,32,2,39,116,65,14,65,4,0,10,12,15,4,0.368,0.451,0.75,1.201,*3/H9,1
24,Frank Thomas,1994,26,CHW,AL,113,517,399,106,141,34,1,38,101,109,12,61,2,0,7,15,2,3,0.353,0.487,0.729,1.217,*3D/H,1
25,Babe Ruth,1930,35,NYY,AL,145,676,518,150,186,28,9,49,153,136,8,61,1,21,,,10,10,0.359,0.493,0.732,1.225,97/1,1
26,Mickey Mantle,1956,24,NYY,AL,150,652,533,132,188,22,5,52,130,112,6,99,2,1,4,4,10,1,0.353,0.464,0.705,1.169,*8/H,1
27,Rogers Hornsby,1925,29,STL,NL,138,606,504,133,203,41,10,39,143,83,,39,2,16,,,5,3,0.403,0.489,0.756,1.245,*4/H,1
28,Willie McCovey,1969,31,SFG,NL,149,623,491,101,157,26,2,45,126,121,45,66,4,0,7,11,0,0,0.32,0.453,0.656,1.108,*3/H,1
29,Ty Cobb,1917,30,DET,AL,152,672,588,107,225,44,24,6,106,61,,34,4,16,,,55,,0.383,0.444,0.57,1.014,*89/H,1
30,Dan Brouthers,1886,28,DTN,NL,121,555,489,139,181,40,15,11,72,66,,16,,,,,21,,0.37,0.445,0.581,1.026,*3,1
31,Lou Gehrig,1934,31,NYY,AL,154,690,579,128,210,40,6,49,166,109,13,31,2,0,,,9,5,0.363,0.465,0.706,1.172,*3/6,1
32,Jimmie Foxx,1932,24,PHA,AL,154,702,585,151,213,33,9,58,169,116,10,96,0,0,,,3,7,0.364,0.469,0.749,1.218,*35,1
33,Rogers Hornsby,1922,26,STL,NL,154,704,623,141,250,46,14,42,152,65,,50,1,15,,,17,12,0.401,0.459,0.722,1.181,*4,1
34,Barry Bonds,1993,28,SFG,NL,159,674,539,129,181,38,4,46,123,126,43,79,2,0,7,11,29,12,0.336,0.459,0.677,1.136,*7/H,1
35,Mickey Mantle,1961,29,NYY,AL,153,646,514,131,163,16,6,54,128,126,9,112,0,1,5,2,12,1,0.317,0.448,0.687,1.135,*8/H,1
36,Babe Ruth,1928,33,NYY,AL,154,684,536,163,173,29,8,54,146,137,8,87,3,8,,,4,5,0.323,0.463,0.709,1.172,97,1
37,Ted Williams,1947,28,BOS,AL,156,693,528,125,181,40,9,32,114,162,29,47,2,1,,10,0,1,0.343,0.499,0.635,1.133,*7,1
